V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24
124,64,37,28,38,103,297,629,836,685,666,783,827,834,820,921,1007,1128,757,577,373,257,237,117
101,54,42,38,49,114,235,564,712,623,575,709,736,789,778,817,946,1013,737,491,296,243,225,134
88,53,40,33,41,86,230,508,697,556,552,666,731,712,705,769,882,916,635,454,313,222,190,132
74,43,48,28,31,77,218,460,627,536,546,633,689,650,738,716,796,900,638,422,309,174,160,118
50,49,35,26,24,78,191,435,604,483,501,620,671,698,600,700,789,838,549,412,293,187,143,112
70,39,29,29,27,58,187,394,554,533,603,741,736,784,808,783,902,826,591,393,292,182,165,94
53,42,20,26,23,55,147,349,429,502,476,622,635,622,652,659,706,670,445,347,181,145,117,92
41,32,25,22,14,64,143,305,390,476,530,594,628,621,641,658,744,661,469,353,214,152,129,81
45,32,26,16,22,63,126,241,337,454,533,592,660,658,595,631,666,609,463,308,178,143,121,99
46,34,16,17,15,48,101,235,318,418,511,598,635,593,626,619,642,599,404,275,180,130,108,66
37,20,13,14,17,41,82,182,317,446,587,691,679,597,609,639,600,557,384,283,166,123,101,76
35,20,11,7,14,18,78,151,273,368,505,577,587,520,534,541,539,516,340,240,172,96,75,45
43,16,14,9,9,18,54,122,232,370,486,577,575,559,577,553,498,400,344,199,144,97,86,39
24,17,8,5,8,13,40,116,228,347,456,526,566,496,481,523,465,414,308,211,126,92,76,48
22,14,5,4,8,20,36,86,188,288,399,484,483,488,474,534,421,387,249,190,124,92,76,42
27,13,13,4,11,8,44,98,189,310,492,544,586,576,490,533,497,343,280,194,124,95,80,49
24,9,3,3,3,8,27,90,153,298,379,405,479,418,452,404,392,308,220,151,109,80,50,42
18,9,5,3,5,11,27,74,150,283,371,390,440,389,453,419,373,349,203,155,99,75,63,22
12,7,8,4,6,11,19,57,143,267,388,425,412,395,408,449,370,312,220,145,102,84,53,31
17,9,4,2,1,15,21,63,123,279,349,453,426,395,413,389,364,284,178,124,76,59,56,34
13,15,3,4,9,4,21,59,140,278,411,463,467,426,444,433,391,275,193,129,74,61,62,36
10,7,2,2,1,11,11,54,131,247,324,431,431,388,405,465,300,304,182,112,60,60,53,23
24,9,4,1,2,8,21,55,132,239,381,388,409,361,383,370,338,227,167,121,85,54,50,20
15,5,2,1,0,4,15,43,111,242,356,397,401,362,378,345,312,256,139,107,63,46,38,27
9,1,2,2,4,6,13,41,108,219,322,409,410,357,372,361,315,257,162,102,67,56,38,29
10,5,5,1,4,2,13,42,92,250,329,419,428,369,387,412,360,255,152,114,52,40,33,21
7,2,1,2,0,5,12,34,59,207,316,370,333,306,326,319,316,210,124,80,50,40,36,19
5,2,5,3,4,3,10,33,74,161,301,352,325,325,324,323,278,186,101,93,47,37,36,14
6,1,0,3,1,4,4,27,73,160,287,314,328,258,292,300,273,181,116,77,52,22,33,18
6,0,1,2,2,0,9,23,80,161,239,281,266,243,245,265,201,162,109,74,36,37,23,13
1,1,1,1,1,2,5,24,54,143,222,264,261,228,258,208,197,155,71,52,41,39,21,14
5,1,0,0,4,1,1,20,42,133,194,229,195,185,214,220,139,135,64,48,23,10,14,5
6,1,1,0,0,3,3,17,42,91,157,201,186,161,169,189,160,103,48,34,24,18,10,5
2,0,1,1,2,2,2,9,39,80,148,153,155,140,151,147,113,66,41,23,13,12,16,2
4,1,0,1,0,0,4,10,28,66,117,126,133,121,132,113,127,71,37,28,11,15,8,6
3,1,0,0,1,2,6,9,15,55,109,115,98,93,99,93,98,50,39,27,12,12,8,4
0,0,0,0,0,2,1,5,12,46,61,78,81,64,78,54,62,38,17,18,4,6,1,1
0,0,0,0,1,0,0,4,8,25,66,70,61,52,60,42,40,30,12,9,4,6,4,2
0,0,0,0,0,0,2,3,7,20,36,51,31,32,43,27,36,20,12,6,2,4,3,1
0,0,0,0,0,1,2,0,5,13,20,34,29,29,19,14,19,10,9,4,4,4,2,2
1,0,0,0,0,0,0,1,6,11,12,17,21,13,17,16,22,11,5,2,1,0,2,1
1,0,0,0,0,0,0,0,2,7,6,15,15,9,10,10,9,5,2,1,2,0,0,1
0,0,1,0,0,0,0,0,3,3,5,10,6,8,8,12,6,3,0,0,0,1,0,0
1,0,0,1,0,1,0,0,3,2,5,6,10,6,8,10,10,5,4,2,1,0,1,0
0,0,0,0,0,0,0,1,1,1,1,5,3,5,3,7,3,2,2,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
